z,855,857,859,860,864,867,868,869
20,8.27,8.171,8.513,8.104,6.512,7.101,7.502,7.16
30,8.05,7.942,8.307,7.917,6.342,6.9,7.256,6.924
40,7.894,7.781,8.134,7.758,6.142,6.612,7.088,6.73
50,7.757,7.628,8,7.645,5.985,6.425,6.907,6.607
75,8.028,7.952,8.332,7.945,7.012,7.166,7.323,7.275
100,8.164,8.069,8.367,8.008,7.075,7.261,7.38,7.3
125,8.215,8.099,8.417,8.038,7.088,7.267,7.424,7.34
150,8.237,8.102,8.448,8.055,7.09,7.297,7.428,7.358
175,8.242,8.14,8.441,8.06,7.092,7.31,7.455,7.382
200,8.212,8.145,8.445,8.05,7.102,7.317,7.456,7.381
225,8.211,8.163,8.445,8.047,7.107,7.322,7.404,7.382
250,8.194,8.188,8.452,8.05,7.117,7.345,7.383,7.382
275,8.208,8.187,8.456,8.055,7.12,7.365,7.376,7.381
300,8.222,8.21,8.472,8.052,7.131,7.382,7.375,7.382
325,8.214,8.231,8.484,8.054,7.148,7.408,7.377,7.4
350,8.215,8.222,8.485,8.055,7.226,7.41,7.367,7.401
375,8.245,8.233,8.501,8.047,7.208,7.406,7.372,7.402
400,8.237,8.229,8.49,8.04,7.205,7.41,7.384,7.393
425,8.231,8.223,8.489,8.042,7.188,7.409,7.38,7.377
450,8.23,8.212,8.487,8.022,7.162,7.401,7.384,7.365
475,8.218,8.207,8.478,8.017,7.146,7.39,7.385,7.347
500,8.193,8.175,8.443,7.999,7.079,7.374,7.371,7.315
525,8.183,8.157,8.441,7.969,7.034,7.345,7.34,7.28
550,8.148,8.112,8.383,7.9,7.024,7.314,7.287,7.24
575,8.058,8.06,8.343,7.857,6.968,7.287,7.223,7.183
600,7.952,8.024,8.277,7.777,6.914,7.23,7.131,7.102
625,7.91,7.956,8.212,7.707,6.834,7.16,7.026,7.051
650,7.859,7.91,8.165,7.687,6.817,7.109,6.983,7.018
675,7.834,7.898,8.124,7.659,6.784,7.029,6.954,6.98
700,7.741,7.865,8.083,7.622,6.674,7.013,6.927,6.925
725,7.736,7.832,8.078,7.584,6.629,6.969,6.911,6.895
750,7.668,7.781,8.06,7.542,6.622,6.923,6.87,6.837
775,7.618,7.747,7.994,7.512,6.524,6.891,6.816,6.795
800,7.582,7.701,7.939,7.475,6.388,6.861,6.792,6.773
