z,873,877,879,881,883,887,889,891
20,5.742,6.138,6.061,5.774,5.688,5.495,5.444,5.42
30,5.729,6.106,6.043,5.78,5.682,5.475,5.401,5.407
40,5.705,6.081,6.023,5.773,5.662,5.444,5.336,5.38
50,5.683,6.051,5.993,5.75,5.65,5.41,5.261,5.35
60,5.638,6.015,5.96,5.739,5.609,5.376,5.164,5.317
70,5.619,5.974,5.943,5.711,5.589,5.331,5.083,5.278
80,5.61,5.962,5.901,5.7,5.558,5.321,4.973,5.242
90,5.547,5.953,5.875,5.645,5.513,5.247,4.886,5.187
100,5.59,5.881,5.841,5.605,5.46,5.201,4.757,5.135
125,5.683,6.052,5.952,5.72,5.602,5.366,5.189,5.313
150,5.672,6.065,5.971,5.759,5.63,5.41,5.339,5.461
175,5.679,6.083,5.981,5.765,5.637,5.513,5.376,5.469
200,5.825,6.092,5.992,5.737,5.647,5.545,5.389,5.469
225,5.836,6.095,5.99,5.744,5.646,5.55,5.399,5.47
250,5.839,6.095,5.983,5.742,5.585,5.557,5.397,5.474
275,5.83,6.101,5.994,5.732,5.653,5.558,5.398,5.474
300,5.832,6.09,6.001,5.739,5.661,5.547,5.4,5.478
325,5.831,6.084,6.004,5.744,5.66,5.542,5.4,5.477
350,5.832,6.097,6.01,5.725,5.63,5.513,5.405,5.47
375,5.839,6.085,6.007,5.723,5.602,5.485,5.393,5.459
400,5.834,6.065,6.004,5.708,5.542,5.51,5.38,5.444
425,5.821,6.065,5.997,5.701,5.537,5.507,5.377,5.441
450,5.804,6.057,5.991,5.685,5.519,5.483,5.362,5.422
475,5.79,6.029,5.982,5.661,5.505,5.441,5.341,5.413
500,5.776,6.028,5.97,5.635,5.477,5.433,5.32,5.391
525,5.754,6.015,5.952,5.605,5.442,5.432,5.301,5.369
550,5.733,5.988,5.932,5.563,5.424,5.427,5.265,5.352
575,5.715,5.961,5.911,5.533,5.401,5.389,5.232,5.323
600,5.66,5.941,5.885,5.507,5.364,5.348,5.177,5.3
625,5.62,5.919,5.845,5.491,5.344,5.306,5.16,5.259
650,5.613,5.897,5.813,5.472,5.32,5.251,5.127,5.233
675,5.589,5.871,5.793,5.457,5.294,5.225,5.101,5.208
700,5.562,5.85,5.76,5.427,5.243,5.182,5.039,5.187
725,5.477,5.816,5.734,5.404,5.239,5.144,5.015,5.157
750,5.47,5.784,5.713,5.378,5.205,5.091,4.93,5.122
775,5.479,5.749,5.701,5.36,5.167,5.047,4.93,5.099
800,5.291,5.701,5.687,5.333,5.119,4.963,4.92,5.061
